species,bag,age,g.loss,perc.loss,phenols,N,C,CN
d,B4,13,0.560230769,2.801153845,0.060566403,1.332854,27.43647,20.58475272
d,B4,13,0.269846154,1.34923077,0.065050865,1.420461,26.91073,18.94506783
d,B4,13,0.348538462,1.74269231,0.107888813,1.33257,29.99575,22.5096993
d,B5,13,0.634076923,3.170384615,0.126838716,1.777162,25.49177,14.34408906
d,B5,13,0.586538462,2.93269231,0.087961751,1.868186,26.78715,14.33858834
d,B5,13,0.271,1.355,0.117346316,1.368487,24.49574,17.89987044
d,B6,13,0.519538462,2.59769231,0.12341866,1.586145,26.01681,16.40254201
d,B6,13,0.322153846,1.61076923,0.10535867,1.584538,25.70504,16.22241941
d,B6,13,0.363461538,1.81730769,0.113594723,1.82751,26.03104,14.24399319
h,B1,13,0.382769231,1.913846155,0.583677956,1.374959,28.08497,20.42604179
h,B1,13,0.385153846,1.92576923,0.854577815,1.613173,30.6144,18.97775378
h,B1,13,0.288769231,1.443846155,0.865570853,1.781445,31.27111,17.5537892
h,B2,13,0.334615385,1.673076925,0.675548343,1.57804,27.05613,17.14540189
h,B2,13,0.446461538,2.23230769,0.893646722,2.031266,28.41404,13.98834028
h,B2,13,0.285,1.425,0.846341761,1.660142,29.26582,17.62850407
h,B3,13,0.268153846,1.34076923,1.096948123,1.582301,27.71938,17.51839884
h,B3,13,0.605461538,3.02730769,0.202795372,1.438753,24.94852,17.3403774
h,B3,13,0.414615385,2.073076925,0.889249507,1.597556,30.16116,18.87956353
o,B7,13,0.961692308,4.80846154,0.070355442,1.50543,25.1821,16.72751307
o,B7,13,0.956153846,4.78076923,0.087630215,1.618074,27.11749,16.75911608
o,B7,13,0.567538462,2.83769231,0.109372001,1.743265,24.84975,14.25471744
o,B8,13,0.771538462,3.85769231,0.098309166,1.008642,18.51199,18.35338009
o,B8,13,0.659461538,3.29730769,0.113559825,1.049501,27.39379,26.10172835
o,B8,13,0.624461538,3.12230769,0.103735888,1.322687,21.00678,15.88189798
o,B9,13,0.846153846,4.23076923,0.082011551,1.593858,23.89208,14.99009322
o,B9,13,0.747538462,3.73769231,0.05754768,1.55083,24.17122,15.58598944
o,B9,13,0.651923077,3.259615385,0.123767646,1.43137,23.4536,16.38542096
d,B4,25,-0.0596,-0.298,0.118951648,1.547848,31.0656,20.07018777
d,B4,25,0.1072,0.536,0.104730496,1.780219,29.10173,16.34727525
d,B4,25,0.3796,1.898,0.120242894,1.871807,27.82219,14.86381342
d,B5,25,0.056,0.28,0.113350434,1.517202,28.83709,19.00675718
d,B5,25,0.0782,0.391,0.084053116,1.228945,29.66097,24.13531118
d,B5,25,0.00392,0.0196,0.115426896,1.84372,30.86608,16.74119714
d,B6,25,0.10764,0.5382,0.12272069,1.901434,25.12221,13.21224402
d,B6,25,0.10228,0.5114,0.107304263,1.686291,25.53604,15.14331749
d,B6,25,-0.09444,-0.4722,0.129892338,1.641527,25.4075,15.47796655
h,B1,25,-0.036,-0.18,1.54197421,1.277655,29.78462,23.31194258
h,B1,25,-0.02396,-0.1198,1.186253468,1.756046,28.31226,16.12273255
h,B1,25,-0.0346,-0.173,1.058769129,2.158608,26.52144,12.28636232
h,B2,25,0.07172,0.3586,1.196862622,1.89236,27.13143,14.33735124
h,B2,25,0.004,0.02,1.051074002,2.091163,31.01628,14.83207191
h,B2,25,-0.11392,-0.5696,1.350154426,1.647283,30.36565,18.43377853
h,B3,25,-0.08076,-0.4038,1.261250414,1.531564,30.956,20.21201856
h,B3,25,-0.24148,-1.2074,1.559737563,1.690024,27.58041,16.31953747
h,B3,25,0.2056,1.028,0.575337207,1.729944,25.45382,14.71366703
o,B7,25,-0.01464,-0.0732,0.236716746,1.601115,24.36749,15.21907546
o,B7,25,0.37408,1.8704,0.215271598,1.835542,24.59105,13.39716008
o,B7,25,0.42652,2.1326,0.366539287,1.218819,25.58412,20.99091005
o,B8,25,0.02892,0.1446,0.23875831,1.111349,17.66472,15.89484491
o,B8,25,0.14008,0.7004,0.154495803,1.009603,15.55079,15.40287618
o,B8,25,-0.1022,-0.511,0.435062556,1.741665,29.16495,16.74544186
o,B9,25,-0.06504,-0.3252,0.227974664,1.421414,30.31851,21.32982368
o,B9,25,0.36952,1.8476,0.085292013,0.2833923,8.834333,31.17351107
o,B9,25,0.06224,0.3112,0.379416846,1.315272,21.0812,16.0280155
d,B4,32,0.285375,1.426875,0.108464639,1.992776,30.62211,15.36655901
d,B4,32,0.21159375,1.05796875,0.098169572,2.181574,30.44781,13.95680825
d,B4,32,0.40565625,2.02828125,0.108412291,2.04741,27.86745,13.61107448
d,B5,32,-0.11853125,-0.59265625,0.11556649,1.969363,31.09448,15.78910541
d,B5,32,-0.0870625,-0.4353125,0.127309847,1.730783,29.09754,16.81177825
d,B5,32,-0.10765625,-0.53828125,0.127083006,1.608501,29.63824,18.42600036
d,B6,32,0.1536875,0.7684375,0.139925666,2.097633,28.00313,13.34987102
d,B6,32,0.13875,0.69375,0.096389747,1.875657,27.09381,14.44497048
d,B6,32,0.03703125,0.18515625,0.119876459,2.072046,28.28063,13.64864969
h,B1,32,-0.18396875,-0.91984375,1.675548343,1.877768,30.20127,16.08360032
h,B1,32,-0.09128125,-0.45640625,1.321153745,2.163743,33.39789,15.43523884
h,B1,32,-0.13590625,-0.67953125,1.214329337,1.685008,30.36919,18.02317259
h,B2,32,0.45525,2.27625,1.130398367,1.789361,27.48482,15.36013135
h,B2,32,0.08771875,0.43859375,1.242160917,1.798703,25.83843,14.36503414
h,B2,32,0.12875,0.64375,1.59620653,1.740595,31.14697,17.8944384
h,B3,32,0.475625,2.378125,1.012284283,1.66869,26.93452,16.14111668
h,B3,32,0.449875,2.249375,1.184281701,1.915577,28.49498,14.87540308
h,B3,32,-0.1054375,-0.5271875,0.853705352,1.866942,25.69361,13.76240397
o,B7,32,0.4254375,2.1271875,0.095377689,1.637512,23.64355,14.43870335
o,B7,32,0.42065625,2.10328125,0.17646443,0.9889821,16.64641,16.83186177
o,B7,32,0.441375,2.206875,0.086373868,1.435244,20.17438,14.05641131
o,B8,32,0.10565625,0.52828125,0.171124954,1.206458,19.92708,16.51701095
o,B8,32,0.450875,2.254375,0.076515033,0.6349734,10.02062,15.78116501
o,B8,32,0.46203125,2.31015625,0.06088049,1.548578,23.58018,15.22698889
o,B9,32,-0.19109375,-0.95546875,0.122458951,0.8608127,12.99903,15.10088083
o,B9,32,-0.189625,-0.948125,0.066725994,1.672527,25.44807,15.21534182
o,B9,32,-0.130875,-0.654375,0.282660664,1.726926,29.59294,17.1361946
