species,site,substratum,mesh,g.loss,perc.loss
d,WH,Forest,13,0.560230769,2.801153845
d,WH,Forest,13,0.269846154,1.34923077
d,WH,Forest,13,0.348538462,1.74269231
d,WH,Forest,13,0.634076923,3.170384615
d,WH,Forest,13,0.586538462,2.93269231
d,WH,Forest,13,0.271,1.355
d,WH,Forest,13,0.519538462,2.59769231
d,WH,Forest,13,0.322153846,1.61076923
d,WH,Forest,13,0.363461538,1.81730769
d,WH,Forest,13,-0.0596,-0.298
d,WH,Forest,13,0.1072,0.536
d,WH,Forest,13,0.3796,1.898
d,WH,Forest,13,0.056,0.28
d,WH,Forest,13,0.0782,0.391
d,WH,Forest,13,0.00392,0.0196
d,WH,Forest,13,0.10764,0.5382
d,WH,Forest,13,0.10228,0.5114
d,WH,Forest,13,-0.09444,-0.4722
d,WH,Forest,13,0.285375,1.426875
d,WH,Forest,13,0.21159375,1.05796875
d,WH,Forest,13,0.40565625,2.02828125
d,WH,Forest,13,-0.11853125,-0.59265625
d,WH,Forest,13,-0.0870625,-0.4353125
d,WH,Forest,13,-0.10765625,-0.53828125
d,WH,Forest,13,0.1536875,0.7684375
d,WH,Forest,13,0.13875,0.69375
d,WH,Forest,13,0.03703125,0.18515625
d,DI,Sediment,20,0.024390244,0.024390244
d,DI,Sediment,20,0.12195122,0.12195122
d,DI,Sediment,20,0.43902439,0.43902439
d,DI,Sediment,20,0.512195122,0.512195122
d,JC,Sediment,20,0.9,0.927835052
d,JC,Sediment,20,1.05,1.05
d,JC,Sediment,20,0.875,0.825471698
d,JC,Sediment,20,0.425,0.43814433
d,DI,Sediment,2,0.658536585,0.658536585
d,DI,Sediment,2,0.804878049,0.804878049
d,DI,Sediment,2,0.512195122,0.512195122
d,DI,Sediment,2,1.219512195,1.219512195
d,JC,Sediment,2,2.275,2.03125
d,JC,Sediment,2,0.525,0.477272727
d,JC,Sediment,2,1.4,1.261261261
d,JC,Sediment,2,1.3,1.181818182
h,WH,Forest,13,0.382769231,1.913846155
h,WH,Forest,13,0.385153846,1.92576923
